Time (CET/CEST),BZN|IE(SEM) > BZN|GB [MW],BZN|GB > BZN|IE(SEM) [MW]
09.01.2022 19:00 - 09.01.2022 20:00,0,729
09.01.2022 20:00 - 09.01.2022 21:00,0,614
09.01.2022 21:00 - 09.01.2022 22:00,5,353
09.01.2022 22:00 - 09.01.2022 23:00,2,235
09.01.2022 23:00 - 10.01.2022 00:00,0,50
10.01.2022 00:00 - 10.01.2022 01:00,27,11
10.01.2022 01:00 - 10.01.2022 02:00,0,146
10.01.2022 02:00 - 10.01.2022 03:00,58,45
10.01.2022 03:00 - 10.01.2022 04:00,191,0
10.01.2022 04:00 - 10.01.2022 05:00,198,0
10.01.2022 05:00 - 10.01.2022 06:00,423,0
10.01.2022 06:00 - 10.01.2022 07:00,531,0
10.01.2022 07:00 - 10.01.2022 08:00,590,0
10.01.2022 08:00 - 10.01.2022 09:00,697,0
10.01.2022 09:00 - 10.01.2022 10:00,533,0
10.01.2022 10:00 - 10.01.2022 11:00,748,0
10.01.2022 11:00 - 10.01.2022 12:00,820,0
10.01.2022 12:00 - 10.01.2022 13:00,819,0
10.01.2022 13:00 - 10.01.2022 14:00,806,0
10.01.2022 14:00 - 10.01.2022 15:00,806,0
10.01.2022 15:00 - 10.01.2022 16:00,797,0
10.01.2022 16:00 - 10.01.2022 17:00,504,0
10.01.2022 17:00 - 10.01.2022 18:00,178,0
10.01.2022 18:00 - 10.01.2022 19:00,16,166
10.01.2022 19:00 - 10.01.2022 20:00,0,521
10.01.2022 20:00 - 10.01.2022 21:00,0,727
10.01.2022 21:00 - 10.01.2022 22:00,0,714
10.01.2022 22:00 - 10.01.2022 23:00,0,639
10.01.2022 23:00 - 11.01.2022 00:00,0,744
11.01.2022 00:00 - 11.01.2022 01:00,0,822
11.01.2022 01:00 - 11.01.2022 02:00,0,594
11.01.2022 02:00 - 11.01.2022 03:00,0,470
11.01.2022 03:00 - 11.01.2022 04:00,0,503
11.01.2022 04:00 - 11.01.2022 05:00,0,547
11.01.2022 05:00 - 11.01.2022 06:00,0,526
11.01.2022 06:00 - 11.01.2022 07:00,0,439
11.01.2022 07:00 - 11.01.2022 08:00,91,223
11.01.2022 08:00 - 11.01.2022 09:00,105,0
11.01.2022 09:00 - 11.01.2022 10:00,222,0
11.01.2022 10:00 - 11.01.2022 11:00,217,0
11.01.2022 11:00 - 11.01.2022 12:00,172,0
11.01.2022 12:00 - 11.01.2022 13:00,178,0
11.01.2022 13:00 - 11.01.2022 14:00,225,0
11.01.2022 14:00 - 11.01.2022 15:00,340,0
11.01.2022 15:00 - 11.01.2022 16:00,440,0
11.01.2022 16:00 - 11.01.2022 17:00,527,0
11.01.2022 17:00 - 11.01.2022 18:00,366,0
11.01.2022 18:00 - 11.01.2022 19:00,113,2
11.01.2022 19:00 - 11.01.2022 20:00,33,45
11.01.2022 20:00 - 11.01.2022 21:00,71,25
11.01.2022 21:00 - 11.01.2022 22:00,207,0
11.01.2022 22:00 - 11.01.2022 23:00,306,0
11.01.2022 23:00 - 12.01.2022 00:00,370,0
12.01.2022 00:00 - 12.01.2022 01:00,194,65
12.01.2022 01:00 - 12.01.2022 02:00,25,102
12.01.2022 02:00 - 12.01.2022 03:00,0,120
12.01.2022 03:00 - 12.01.2022 04:00,0,121
12.01.2022 04:00 - 12.01.2022 05:00,0,152
12.01.2022 05:00 - 12.01.2022 06:00,0,88
12.01.2022 06:00 - 12.01.2022 07:00,30,56
12.01.2022 07:00 - 12.01.2022 08:00,170,0
12.01.2022 08:00 - 12.01.2022 09:00,337,0
12.01.2022 09:00 - 12.01.2022 10:00,545,0
12.01.2022 10:00 - 12.01.2022 11:00,491,0
12.01.2022 11:00 - 12.01.2022 12:00,367,0
12.01.2022 12:00 - 12.01.2022 13:00,159,0
12.01.2022 13:00 - 12.01.2022 14:00,190,0
12.01.2022 14:00 - 12.01.2022 15:00,149,0
12.01.2022 15:00 - 12.01.2022 16:00,94,0
12.01.2022 16:00 - 12.01.2022 17:00,102,1
12.01.2022 17:00 - 12.01.2022 18:00,45,18
12.01.2022 18:00 - 12.01.2022 19:00,0,41
12.01.2022 19:00 - 12.01.2022 20:00,0,265
12.01.2022 20:00 - 12.01.2022 21:00,2,260
12.01.2022 21:00 - 12.01.2022 22:00,0,125
12.01.2022 22:00 - 12.01.2022 23:00,0,81
12.01.2022 23:00 - 13.01.2022 00:00,18,57
13.01.2022 00:00 - 13.01.2022 01:00,26,82
13.01.2022 01:00 - 13.01.2022 02:00,18,127
13.01.2022 02:00 - 13.01.2022 03:00,58,19
13.01.2022 03:00 - 13.01.2022 04:00,45,22
13.01.2022 04:00 - 13.01.2022 05:00,0,62
13.01.2022 05:00 - 13.01.2022 06:00,0,137
13.01.2022 06:00 - 13.01.2022 07:00,18,47
13.01.2022 07:00 - 13.01.2022 08:00,298,0
13.01.2022 08:00 - 13.01.2022 09:00,503,0
13.01.2022 09:00 - 13.01.2022 10:00,510,0
13.01.2022 10:00 - 13.01.2022 11:00,443,0
13.01.2022 11:00 - 13.01.2022 12:00,246,0
13.01.2022 12:00 - 13.01.2022 13:00,136,0
13.01.2022 13:00 - 13.01.2022 14:00,28,9
13.01.2022 14:00 - 13.01.2022 15:00,0,53
13.01.2022 15:00 - 13.01.2022 16:00,0,134
13.01.2022 16:00 - 13.01.2022 17:00,18,99
13.01.2022 17:00 - 13.01.2022 18:00,53,24
13.01.2022 18:00 - 13.01.2022 19:00,0,55
13.01.2022 19:00 - 13.01.2022 20:00,0,223
13.01.2022 20:00 - 13.01.2022 21:00,30,149
13.01.2022 21:00 - 13.01.2022 22:00,71,38
13.01.2022 22:00 - 13.01.2022 23:00,6,19
13.01.2022 23:00 - 14.01.2022 00:00,96,2
14.01.2022 00:00 - 14.01.2022 01:00,53,44
14.01.2022 01:00 - 14.01.2022 02:00,8,64
14.01.2022 02:00 - 14.01.2022 03:00,0,133
14.01.2022 03:00 - 14.01.2022 04:00,0,281
14.01.2022 04:00 - 14.01.2022 05:00,0,273
14.01.2022 05:00 - 14.01.2022 06:00,0,183
14.01.2022 06:00 - 14.01.2022 07:00,0,144
14.01.2022 07:00 - 14.01.2022 08:00,18,92
14.01.2022 08:00 - 14.01.2022 09:00,429,0
14.01.2022 09:00 - 14.01.2022 10:00,768,0
