"Time (CET/CEST)","BZN|FR > BZN|GB(IFA2) [MW]","BZN|GB(IFA2) > BZN|FR [MW]"
"05.01.2022 01:00 - 05.01.2022 02:00","253","0"
"05.01.2022 02:00 - 05.01.2022 03:00","774","0"
"05.01.2022 03:00 - 05.01.2022 04:00","543","0"
"05.01.2022 04:00 - 05.01.2022 05:00","401","0"
"05.01.2022 05:00 - 05.01.2022 06:00","0","279"
"05.01.2022 06:00 - 05.01.2022 07:00","0","2"
"05.01.2022 07:00 - 05.01.2022 08:00","0","68"
"05.01.2022 08:00 - 05.01.2022 09:00","17","0"
"05.01.2022 09:00 - 05.01.2022 10:00","70","0"
"05.01.2022 10:00 - 05.01.2022 11:00","617","0"
"05.01.2022 11:00 - 05.01.2022 12:00","783","0"
"05.01.2022 12:00 - 05.01.2022 13:00","618","0"
"05.01.2022 13:00 - 05.01.2022 14:00","941","0"
"05.01.2022 14:00 - 05.01.2022 15:00","974","0"
"05.01.2022 15:00 - 05.01.2022 16:00","1024","0"
"05.01.2022 16:00 - 05.01.2022 17:00","1025","0"
"05.01.2022 17:00 - 05.01.2022 18:00","1025","0"
"05.01.2022 18:00 - 05.01.2022 19:00","1025","0"
"05.01.2022 19:00 - 05.01.2022 20:00","1025","0"
"05.01.2022 20:00 - 05.01.2022 21:00","1025","0"
"05.01.2022 21:00 - 05.01.2022 22:00","1025","0"
"05.01.2022 22:00 - 05.01.2022 23:00","1025","0"
"05.01.2022 23:00 - 06.01.2022 00:00","1025","0"
"06.01.2022 00:00 - 06.01.2022 01:00","1021","0"
"06.01.2022 01:00 - 06.01.2022 02:00","1025","0"
"06.01.2022 02:00 - 06.01.2022 03:00","1025","0"
"06.01.2022 03:00 - 06.01.2022 04:00","1026","0"
"06.01.2022 04:00 - 06.01.2022 05:00","1000","0"
"06.01.2022 05:00 - 06.01.2022 06:00","901","0"
"06.01.2022 06:00 - 06.01.2022 07:00","0","54"
"06.01.2022 07:00 - 06.01.2022 08:00","434","0"
"06.01.2022 08:00 - 06.01.2022 09:00","850","0"
"06.01.2022 09:00 - 06.01.2022 10:00","947","0"
"06.01.2022 10:00 - 06.01.2022 11:00","1010","0"
"06.01.2022 11:00 - 06.01.2022 12:00","769","0"
"06.01.2022 12:00 - 06.01.2022 13:00","887","0"
"06.01.2022 13:00 - 06.01.2022 14:00","761","0"
"06.01.2022 14:00 - 06.01.2022 15:00","624","0"
"06.01.2022 15:00 - 06.01.2022 16:00","495","0"
"06.01.2022 16:00 - 06.01.2022 17:00","576","0"
"06.01.2022 17:00 - 06.01.2022 18:00","623","0"
"06.01.2022 18:00 - 06.01.2022 19:00","291","0"
"06.01.2022 19:00 - 06.01.2022 20:00","74","0"
"06.01.2022 20:00 - 06.01.2022 21:00","352","0"
"06.01.2022 21:00 - 06.01.2022 22:00","584","0"
"06.01.2022 22:00 - 06.01.2022 23:00","453","0"
"06.01.2022 23:00 - 07.01.2022 00:00","0","247"
"07.01.2022 00:00 - 07.01.2022 01:00","0","194"
"07.01.2022 01:00 - 07.01.2022 02:00","10","0"
"07.01.2022 02:00 - 07.01.2022 03:00","501","0"
"07.01.2022 03:00 - 07.01.2022 04:00","179","0"
"07.01.2022 04:00 - 07.01.2022 05:00","268","0"
"07.01.2022 05:00 - 07.01.2022 06:00","0","75"
"07.01.2022 06:00 - 07.01.2022 07:00","0","300"
"07.01.2022 07:00 - 07.01.2022 08:00","0","237"
"07.01.2022 08:00 - 07.01.2022 09:00","0","505"
"07.01.2022 09:00 - 07.01.2022 10:00","243","0"
"07.01.2022 10:00 - 07.01.2022 11:00","932","0"
"07.01.2022 11:00 - 07.01.2022 12:00","1022","0"
"07.01.2022 12:00 - 07.01.2022 13:00","1025","0"
"07.01.2022 13:00 - 07.01.2022 14:00","1025","0"
"07.01.2022 14:00 - 07.01.2022 15:00","1025","0"
"07.01.2022 15:00 - 07.01.2022 16:00","1025","0"
"07.01.2022 16:00 - 07.01.2022 17:00","1025","0"
"07.01.2022 17:00 - 07.01.2022 18:00","1025","0"
"07.01.2022 18:00 - 07.01.2022 19:00","1025","0"
"07.01.2022 19:00 - 07.01.2022 20:00","1025","0"
"07.01.2022 20:00 - 07.01.2022 21:00","1025","0"
"07.01.2022 21:00 - 07.01.2022 22:00","1025","0"
"07.01.2022 22:00 - 07.01.2022 23:00","1023","0"
"07.01.2022 23:00 - 08.01.2022 00:00","903","0"
"08.01.2022 00:00 - 08.01.2022 01:00","1021","0"
"08.01.2022 01:00 - 08.01.2022 02:00","1025","0"
"08.01.2022 02:00 - 08.01.2022 03:00","1026","0"
"08.01.2022 03:00 - 08.01.2022 04:00","1026","0"
"08.01.2022 04:00 - 08.01.2022 05:00","990","0"
"08.01.2022 05:00 - 08.01.2022 06:00","714","0"
"08.01.2022 06:00 - 08.01.2022 07:00","375","0"
"08.01.2022 07:00 - 08.01.2022 08:00","0","69"
"08.01.2022 08:00 - 08.01.2022 09:00","0","522"
"08.01.2022 09:00 - 08.01.2022 10:00","0","721"
"08.01.2022 10:00 - 08.01.2022 11:00","294","0"
"08.01.2022 11:00 - 08.01.2022 12:00","406","0"
"08.01.2022 12:00 - 08.01.2022 13:00","886","0"
"08.01.2022 13:00 - 08.01.2022 14:00","949","0"
"08.01.2022 14:00 - 08.01.2022 15:00","1024","0"
"08.01.2022 15:00 - 08.01.2022 16:00","1026","0"
"08.01.2022 16:00 - 08.01.2022 17:00","1026","0"
"08.01.2022 17:00 - 08.01.2022 18:00","1025","0"
"08.01.2022 18:00 - 08.01.2022 19:00","1025","0"
"08.01.2022 19:00 - 08.01.2022 20:00","1026","0"
"08.01.2022 20:00 - 08.01.2022 21:00","1026","0"
"08.01.2022 21:00 - 08.01.2022 22:00","1026","0"
"08.01.2022 22:00 - 08.01.2022 23:00","1025","0"
"08.01.2022 23:00 - 09.01.2022 00:00","1000","0"
"09.01.2022 00:00 - 09.01.2022 01:00","1025","0"
"09.01.2022 01:00 - 09.01.2022 02:00","1026","0"
"09.01.2022 02:00 - 09.01.2022 03:00","999","0"
"09.01.2022 03:00 - 09.01.2022 04:00","885","0"
"09.01.2022 04:00 - 09.01.2022 05:00","973","0"
"09.01.2022 05:00 - 09.01.2022 06:00","948","0"
"09.01.2022 06:00 - 09.01.2022 07:00","791","0"
"09.01.2022 07:00 - 09.01.2022 08:00","1020","0"
"09.01.2022 08:00 - 09.01.2022 09:00","1026","0"
"09.01.2022 09:00 - 09.01.2022 10:00","1025","0"
"09.01.2022 10:00 - 09.01.2022 11:00","1025","0"
"09.01.2022 11:00 - 09.01.2022 12:00","1024","0"
"09.01.2022 12:00 - 09.01.2022 13:00","975","0"
"09.01.2022 13:00 - 09.01.2022 14:00","980","0"
"09.01.2022 14:00 - 09.01.2022 15:00","1025","0"
"09.01.2022 15:00 - 09.01.2022 16:00","1024","0"
"09.01.2022 16:00 - 09.01.2022 17:00","903","0"
"09.01.2022 17:00 - 09.01.2022 18:00","1022","0"
"09.01.2022 18:00 - 09.01.2022 19:00","1025","0"
"09.01.2022 19:00 - 09.01.2022 20:00","1025","0"
"09.01.2022 20:00 - 09.01.2022 21:00","1026","0"
"09.01.2022 21:00 - 09.01.2022 22:00","1026","0"
"09.01.2022 22:00 - 09.01.2022 23:00","1020","0"
"09.01.2022 23:00 - 10.01.2022 00:00","1015","0"
"10.01.2022 00:00 - 10.01.2022 01:00","459","0"
"10.01.2022 01:00 - 10.01.2022 02:00","521","0"
"10.01.2022 02:00 - 10.01.2022 03:00","467","0"
"10.01.2022 03:00 - 10.01.2022 04:00","327","0"
"10.01.2022 04:00 - 10.01.2022 05:00","184","0"
"10.01.2022 05:00 - 10.01.2022 06:00","0","274"
"10.01.2022 06:00 - 10.01.2022 07:00","0","705"
"10.01.2022 07:00 - 10.01.2022 08:00","0","490"
"10.01.2022 08:00 - 10.01.2022 09:00","305","0"
"10.01.2022 09:00 - 10.01.2022 10:00","346","0"
"10.01.2022 10:00 - 10.01.2022 11:00","287","0"
"10.01.2022 11:00 - 10.01.2022 12:00","N/A","N/A"
"10.01.2022 12:00 - 10.01.2022 13:00","N/A","N/A"
"10.01.2022 13:00 - 10.01.2022 14:00","N/A","N/A"
"10.01.2022 14:00 - 10.01.2022 15:00","N/A","N/A"
"10.01.2022 15:00 - 10.01.2022 16:00","212","0"
"10.01.2022 16:00 - 10.01.2022 17:00","0","426"
"10.01.2022 17:00 - 10.01.2022 18:00","0","566"
"10.01.2022 18:00 - 10.01.2022 19:00","0","321"
"10.01.2022 19:00 - 10.01.2022 20:00","0","693"
"10.01.2022 20:00 - 10.01.2022 21:00","0","639"
"10.01.2022 21:00 - 10.01.2022 22:00","0","954"
"10.01.2022 22:00 - 10.01.2022 23:00","0","996"
"10.01.2022 23:00 - 11.01.2022 00:00","0","990"
"11.01.2022 00:00 - 11.01.2022 01:00","0","591"
"11.01.2022 01:00 - 11.01.2022 02:00","0","405"
"11.01.2022 02:00 - 11.01.2022 03:00","0","217"
"11.01.2022 03:00 - 11.01.2022 04:00","0","146"
"11.01.2022 04:00 - 11.01.2022 05:00","0","312"
"11.01.2022 05:00 - 11.01.2022 06:00","0","713"
"11.01.2022 06:00 - 11.01.2022 07:00","0","990"
"11.01.2022 07:00 - 11.01.2022 08:00","0","998"
"11.01.2022 08:00 - 11.01.2022 09:00","0","998"
"11.01.2022 09:00 - 11.01.2022 10:00","0","993"
"11.01.2022 10:00 - 11.01.2022 11:00","0","721"
"11.01.2022 11:00 - 11.01.2022 12:00","0","517"
"11.01.2022 12:00 - 11.01.2022 13:00","0","152"
"11.01.2022 13:00 - 11.01.2022 14:00","0","160"
"11.01.2022 14:00 - 11.01.2022 15:00","0","448"
"11.01.2022 15:00 - 11.01.2022 16:00","0","400"
"11.01.2022 16:00 - 11.01.2022 17:00","0","350"
"11.01.2022 17:00 - 11.01.2022 18:00","389","0"
"11.01.2022 18:00 - 11.01.2022 19:00","382","0"
"11.01.2022 19:00 - 11.01.2022 20:00","0","114"
"11.01.2022 20:00 - 11.01.2022 21:00","95","0"
"11.01.2022 21:00 - 11.01.2022 22:00","0","167"
"11.01.2022 22:00 - 11.01.2022 23:00","0","238"
"11.01.2022 23:00 - 12.01.2022 00:00","0","725"
"12.01.2022 00:00 - 12.01.2022 01:00","0","824"
"12.01.2022 01:00 - 12.01.2022 02:00","0","826"
"12.01.2022 02:00 - 12.01.2022 03:00","0","824"
"12.01.2022 03:00 - 12.01.2022 04:00","0","826"
"12.01.2022 04:00 - 12.01.2022 05:00","0","818"
"12.01.2022 05:00 - 12.01.2022 06:00","0","993"
"12.01.2022 06:00 - 12.01.2022 07:00","0","997"
"12.01.2022 07:00 - 12.01.2022 08:00","0","998"
"12.01.2022 08:00 - 12.01.2022 09:00","0","998"
"12.01.2022 09:00 - 12.01.2022 10:00","0","968"
"12.01.2022 10:00 - 12.01.2022 11:00","0","633"
"12.01.2022 11:00 - 12.01.2022 12:00","0","976"
"12.01.2022 12:00 - 12.01.2022 13:00","0","997"
"12.01.2022 13:00 - 12.01.2022 14:00","0","957"
"12.01.2022 14:00 - 12.01.2022 15:00","0","989"
"12.01.2022 15:00 - 12.01.2022 16:00","0","592"
"12.01.2022 16:00 - 12.01.2022 17:00","0","489"
"12.01.2022 17:00 - 12.01.2022 18:00","271","0"
"12.01.2022 18:00 - 12.01.2022 19:00","572","0"
"12.01.2022 19:00 - 12.01.2022 20:00","297","0"
"12.01.2022 20:00 - 12.01.2022 21:00","0","645"
"12.01.2022 21:00 - 12.01.2022 22:00","0","687"
"12.01.2022 22:00 - 12.01.2022 23:00","0","619"
"12.01.2022 23:00 - 13.01.2022 00:00","0","935"
"13.01.2022 00:00 - 13.01.2022 01:00","0","672"
"13.01.2022 01:00 - 13.01.2022 02:00","0","526"
"13.01.2022 02:00 - 13.01.2022 03:00","0","560"
"13.01.2022 03:00 - 13.01.2022 04:00","0","574"
"13.01.2022 04:00 - 13.01.2022 05:00","0","644"
"13.01.2022 05:00 - 13.01.2022 06:00","0","982"
"13.01.2022 06:00 - 13.01.2022 07:00","0","881"
"13.01.2022 07:00 - 13.01.2022 08:00","0","866"
"13.01.2022 08:00 - 13.01.2022 09:00","0","683"
"13.01.2022 09:00 - 13.01.2022 10:00","0","890"
"13.01.2022 10:00 - 13.01.2022 11:00","0","648"
"13.01.2022 11:00 - 13.01.2022 12:00","0","654"
"13.01.2022 12:00 - 13.01.2022 13:00","0","752"
"13.01.2022 13:00 - 13.01.2022 14:00","0","827"
"13.01.2022 14:00 - 13.01.2022 15:00","0","875"
"13.01.2022 15:00 - 13.01.2022 16:00","0","688"
"13.01.2022 16:00 - 13.01.2022 17:00","0","430"
"13.01.2022 17:00 - 13.01.2022 18:00","26","0"
"13.01.2022 18:00 - 13.01.2022 19:00","331","0"
"13.01.2022 19:00 - 13.01.2022 20:00","315","0"
"13.01.2022 20:00 - 13.01.2022 21:00","144","0"
"13.01.2022 21:00 - 13.01.2022 22:00","0","385"
"13.01.2022 22:00 - 13.01.2022 23:00","0","781"
"13.01.2022 23:00 - 14.01.2022 00:00","0","991"
"14.01.2022 00:00 - 14.01.2022 01:00","0","931"
"14.01.2022 01:00 - 14.01.2022 02:00","0","923"
"14.01.2022 02:00 - 14.01.2022 03:00","0","733"
"14.01.2022 03:00 - 14.01.2022 04:00","0","619"
"14.01.2022 04:00 - 14.01.2022 05:00","0","743"
"14.01.2022 05:00 - 14.01.2022 06:00","0","990"
"14.01.2022 06:00 - 14.01.2022 07:00","0","996"
"14.01.2022 07:00 - 14.01.2022 08:00","0","978"
"14.01.2022 08:00 - 14.01.2022 09:00","0","38"
"14.01.2022 09:00 - 14.01.2022 10:00","831","0"
"14.01.2022 10:00 - 14.01.2022 11:00","1021","0"
"14.01.2022 11:00 - 14.01.2022 12:00","1025","0"
"14.01.2022 12:00 - 14.01.2022 13:00","1025","0"
"14.01.2022 13:00 - 14.01.2022 14:00","1025","0"
"14.01.2022 14:00 - 14.01.2022 15:00","1025","0"
"14.01.2022 15:00 - 14.01.2022 16:00","1026","0"
"14.01.2022 16:00 - 14.01.2022 17:00","1026","0"
"14.01.2022 17:00 - 14.01.2022 18:00","1025","0"
"14.01.2022 18:00 - 14.01.2022 19:00","1025","0"
"14.01.2022 19:00 - 14.01.2022 20:00","1026","0"
"14.01.2022 20:00 - 14.01.2022 21:00","1026","0"
"14.01.2022 21:00 - 14.01.2022 22:00","1025","0"
"14.01.2022 22:00 - 14.01.2022 23:00","985","0"
"14.01.2022 23:00 - 15.01.2022 00:00","747","0"
"15.01.2022 00:00 - 15.01.2022 01:00","360","0"
"15.01.2022 01:00 - 15.01.2022 02:00","393","0"
"15.01.2022 02:00 - 15.01.2022 03:00","542","0"
"15.01.2022 03:00 - 15.01.2022 04:00","327","0"
"15.01.2022 04:00 - 15.01.2022 05:00","0","33"
"15.01.2022 05:00 - 15.01.2022 06:00","0","564"
"15.01.2022 06:00 - 15.01.2022 07:00","0","556"
"15.01.2022 07:00 - 15.01.2022 08:00","0","470"
"15.01.2022 08:00 - 15.01.2022 09:00","0","97"
"15.01.2022 09:00 - 15.01.2022 10:00","440","0"
"15.01.2022 10:00 - 15.01.2022 11:00","963","0"
"15.01.2022 11:00 - 15.01.2022 12:00","1024","0"
"15.01.2022 12:00 - 15.01.2022 13:00","1025","0"
"15.01.2022 13:00 - 15.01.2022 14:00","1026","0"
"15.01.2022 14:00 - 15.01.2022 15:00","1025","0"
"15.01.2022 15:00 - 15.01.2022 16:00","1025","0"
"15.01.2022 16:00 - 15.01.2022 17:00","1025","0"
"15.01.2022 17:00 - 15.01.2022 18:00","1024","0"
"15.01.2022 18:00 - 15.01.2022 19:00","1025","0"
"15.01.2022 19:00 - 15.01.2022 20:00","1021","0"
"15.01.2022 20:00 - 15.01.2022 21:00","825","0"
"15.01.2022 21:00 - 15.01.2022 22:00","879","0"
"15.01.2022 22:00 - 15.01.2022 23:00","921","0"
"15.01.2022 23:00 - 16.01.2022 00:00","353","0"
"16.01.2022 00:00 - 16.01.2022 01:00","897","0"
"16.01.2022 01:00 - 16.01.2022 02:00","992","0"
"16.01.2022 02:00 - 16.01.2022 03:00","760","0"
"16.01.2022 03:00 - 16.01.2022 04:00","501","0"
"16.01.2022 04:00 - 16.01.2022 05:00","6","0"
"16.01.2022 05:00 - 16.01.2022 06:00","0","226"
"16.01.2022 06:00 - 16.01.2022 07:00","0","442"
"16.01.2022 07:00 - 16.01.2022 08:00","0","170"
"16.01.2022 08:00 - 16.01.2022 09:00","0","389"
"16.01.2022 09:00 - 16.01.2022 10:00","654","0"
"16.01.2022 10:00 - 16.01.2022 11:00","981","0"
"16.01.2022 11:00 - 16.01.2022 12:00","1024","0"
"16.01.2022 12:00 - 16.01.2022 13:00","1025","0"
"16.01.2022 13:00 - 16.01.2022 14:00","1025","0"
"16.01.2022 14:00 - 16.01.2022 15:00","1023","0"
"16.01.2022 15:00 - 16.01.2022 16:00","956","0"
"16.01.2022 16:00 - 16.01.2022 17:00","975","0"
"16.01.2022 17:00 - 16.01.2022 18:00","1025","0"
"16.01.2022 18:00 - 16.01.2022 19:00","1025","0"
"16.01.2022 19:00 - 16.01.2022 20:00","1021","0"
"16.01.2022 20:00 - 16.01.2022 21:00","786","0"
"16.01.2022 21:00 - 16.01.2022 22:00","767","0"
"16.01.2022 22:00 - 16.01.2022 23:00","0","160"
"16.01.2022 23:00 - 17.01.2022 00:00","0","921"
"17.01.2022 00:00 - 17.01.2022 01:00","0","897"
"17.01.2022 01:00 - 17.01.2022 02:00","0","990"
"17.01.2022 02:00 - 17.01.2022 03:00","0","989"
"17.01.2022 03:00 - 17.01.2022 04:00","0","818"
"17.01.2022 04:00 - 17.01.2022 05:00","0","857"
"17.01.2022 05:00 - 17.01.2022 06:00","0","962"
"17.01.2022 06:00 - 17.01.2022 07:00","0","995"
"17.01.2022 07:00 - 17.01.2022 08:00","0","988"
"17.01.2022 08:00 - 17.01.2022 09:00","0","455"
"17.01.2022 09:00 - 17.01.2022 10:00","148","0"
"17.01.2022 10:00 - 17.01.2022 11:00","0","313"
"17.01.2022 11:00 - 17.01.2022 12:00","0","497"
"17.01.2022 12:00 - 17.01.2022 13:00","0","437"
"17.01.2022 13:00 - 17.01.2022 14:00","0","81"
"17.01.2022 14:00 - 17.01.2022 15:00","326","0"
"17.01.2022 15:00 - 17.01.2022 16:00","569","0"
"17.01.2022 16:00 - 17.01.2022 17:00","909","0"
"17.01.2022 17:00 - 17.01.2022 18:00","949","0"
"17.01.2022 18:00 - 17.01.2022 19:00","1022","0"
"17.01.2022 19:00 - 17.01.2022 20:00","976","0"
"17.01.2022 20:00 - 17.01.2022 21:00","1021","0"
"17.01.2022 21:00 - 17.01.2022 22:00","870","0"
"17.01.2022 22:00 - 17.01.2022 23:00","552","0"
"17.01.2022 23:00 - 18.01.2022 00:00","0","113"
"18.01.2022 00:00 - 18.01.2022 01:00","0","181"
"18.01.2022 01:00 - 18.01.2022 02:00","3","0"
"18.01.2022 02:00 - 18.01.2022 03:00","45","0"
"18.01.2022 03:00 - 18.01.2022 04:00","0","306"
"18.01.2022 04:00 - 18.01.2022 05:00","0","469"
"18.01.2022 05:00 - 18.01.2022 06:00","0","754"
"18.01.2022 06:00 - 18.01.2022 07:00","0","863"
"18.01.2022 07:00 - 18.01.2022 08:00","0","637"
"18.01.2022 08:00 - 18.01.2022 09:00","0","601"
"18.01.2022 09:00 - 18.01.2022 10:00","51","0"
"18.01.2022 10:00 - 18.01.2022 11:00","229","0"
"18.01.2022 11:00 - 18.01.2022 12:00","290","0"
"18.01.2022 12:00 - 18.01.2022 13:00","678","0"
"18.01.2022 13:00 - 18.01.2022 14:00","499","0"
"18.01.2022 14:00 - 18.01.2022 15:00","448","0"
"18.01.2022 15:00 - 18.01.2022 16:00","0","42"
"18.01.2022 16:00 - 18.01.2022 17:00","0","366"
"18.01.2022 17:00 - 18.01.2022 18:00","65","0"
"18.01.2022 18:00 - 18.01.2022 19:00","0","101"
"18.01.2022 19:00 - 18.01.2022 20:00","0","782"
"18.01.2022 20:00 - 18.01.2022 21:00","0","405"
"18.01.2022 21:00 - 18.01.2022 22:00","0","452"
"18.01.2022 22:00 - 18.01.2022 23:00","0","516"
"18.01.2022 23:00 - 19.01.2022 00:00","0","613"
"19.01.2022 00:00 - 19.01.2022 01:00","0","442"
"19.01.2022 01:00 - 19.01.2022 02:00","0","574"
"19.01.2022 02:00 - 19.01.2022 03:00","0","778"
"19.01.2022 03:00 - 19.01.2022 04:00","0","832"
"19.01.2022 04:00 - 19.01.2022 05:00","0","989"
"19.01.2022 05:00 - 19.01.2022 06:00","0","997"
"19.01.2022 06:00 - 19.01.2022 07:00","0","998"
"19.01.2022 07:00 - 19.01.2022 08:00","0","997"
"19.01.2022 08:00 - 19.01.2022 09:00","0","951"
"19.01.2022 09:00 - 19.01.2022 10:00","0","993"
"19.01.2022 10:00 - 19.01.2022 11:00","0","995"
"19.01.2022 11:00 - 19.01.2022 12:00","0","834"
"19.01.2022 12:00 - 19.01.2022 13:00","0","993"
"19.01.2022 13:00 - 19.01.2022 14:00","0","998"
"19.01.2022 14:00 - 19.01.2022 15:00","0","997"
"19.01.2022 15:00 - 19.01.2022 16:00","0","996"
"19.01.2022 16:00 - 19.01.2022 17:00","0","995"
"19.01.2022 17:00 - 19.01.2022 18:00","0","897"
"19.01.2022 18:00 - 19.01.2022 19:00","0","657"
"19.01.2022 19:00 - 19.01.2022 20:00","0","593"
"19.01.2022 20:00 - 19.01.2022 21:00","0","59"
"19.01.2022 21:00 - 19.01.2022 22:00","0","173"
"19.01.2022 22:00 - 19.01.2022 23:00","0","79"
"19.01.2022 23:00 - 20.01.2022 00:00","0","965"
"20.01.2022 00:00 - 20.01.2022 01:00","0","431"
"20.01.2022 01:00 - 20.01.2022 02:00","0","259"
