Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"30/09/2022 11:38:01","29/09/2022","Temperature, Actual, D+1","11.7313","30/09/2022 12:30:00",""
"29/09/2022 11:38:00","28/09/2022","Temperature, Actual, D+1","11.2837","29/09/2022 12:30:00",""
"28/09/2022 11:38:00","27/09/2022","Temperature, Actual, D+1","11.4521","28/09/2022 12:30:00",""
"27/09/2022 11:38:00","26/09/2022","Temperature, Actual, D+1","12.2577","27/09/2022 12:30:00",""
"26/09/2022 11:38:00","25/09/2022","Temperature, Actual, D+1","12.6706","26/09/2022 12:30:00",""
"25/09/2022 11:38:00","24/09/2022","Temperature, Actual, D+1","13.3191","25/09/2022 12:30:00",""
"24/09/2022 11:38:00","23/09/2022","Temperature, Actual, D+1","13.8222","24/09/2022 12:30:00",""
"23/09/2022 11:38:00","22/09/2022","Temperature, Actual, D+1","13.9001","23/09/2022 12:30:00",""
"22/09/2022 11:38:00","21/09/2022","Temperature, Actual, D+1","13.9721","22/09/2022 12:30:00",""
"21/09/2022 11:38:00","20/09/2022","Temperature, Actual, D+1","13.8260","21/09/2022 12:30:00",""
"20/09/2022 11:38:00","19/09/2022","Temperature, Actual, D+1","13.4380","20/09/2022 12:30:00",""
"19/09/2022 11:38:00","18/09/2022","Temperature, Actual, D+1","13.2643","19/09/2022 12:30:00",""
"18/09/2022 11:38:00","17/09/2022","Temperature, Actual, D+1","13.1353","18/09/2022 12:30:00",""
"17/09/2022 11:38:00","16/09/2022","Temperature, Actual, D+1","13.5016","17/09/2022 12:30:00",""
"16/09/2022 11:38:00","15/09/2022","Temperature, Actual, D+1","14.0930","16/09/2022 12:30:00",""
"15/09/2022 11:38:00","14/09/2022","Temperature, Actual, D+1","14.3975","15/09/2022 12:30:00",""
"14/09/2022 11:38:00","13/09/2022","Temperature, Actual, D+1","14.5152","14/09/2022 12:30:00",""
"13/09/2022 11:38:00","12/09/2022","Temperature, Actual, D+1","14.9022","13/09/2022 12:30:00",""
"12/09/2022 11:38:00","11/09/2022","Temperature, Actual, D+1","14.6785","12/09/2022 12:30:00",""
"11/09/2022 11:38:00","10/09/2022","Temperature, Actual, D+1","14.6064","11/09/2022 12:30:00",""
"10/09/2022 11:38:00","09/09/2022","Temperature, Actual, D+1","14.6134","10/09/2022 12:30:00",""
"09/09/2022 11:38:00","08/09/2022","Temperature, Actual, D+1","14.6552","09/09/2022 12:30:00",""
"08/09/2022 11:38:00","07/09/2022","Temperature, Actual, D+1","14.9396","08/09/2022 12:30:00",""
"07/09/2022 11:38:00","06/09/2022","Temperature, Actual, D+1","15.0761","07/09/2022 12:30:00",""
"06/09/2022 11:38:00","05/09/2022","Temperature, Actual, D+1","15.2396","06/09/2022 12:30:00",""
"05/09/2022 11:38:00","04/09/2022","Temperature, Actual, D+1","15.2370","05/09/2022 12:30:00",""
"04/09/2022 11:38:00","03/09/2022","Temperature, Actual, D+1","15.1708","04/09/2022 12:30:00",""
"03/09/2022 11:38:00","02/09/2022","Temperature, Actual, D+1","15.1476","03/09/2022 12:30:00",""
"02/09/2022 11:38:00","01/09/2022","Temperature, Actual, D+1","15.1147","02/09/2022 12:30:00",""
"01/09/2022 11:38:00","31/08/2022","Temperature, Actual, D+1","15.0721","01/09/2022 12:30:00",""
"31/08/2022 11:38:00","30/08/2022","Temperature, Actual, D+1","15.0455","31/08/2022 12:30:00",""
"30/08/2022 11:38:00","29/08/2022","Temperature, Actual, D+1","15.0999","30/08/2022 12:30:00",""
"29/08/2022 11:38:00","28/08/2022","Temperature, Actual, D+1","15.1986","29/08/2022 12:30:00",""
"28/08/2022 11:38:00","27/08/2022","Temperature, Actual, D+1","15.1726","28/08/2022 12:30:00",""
"27/08/2022 11:38:00","26/08/2022","Temperature, Actual, D+1","15.1371","27/08/2022 12:30:00",""
"26/08/2022 11:38:00","25/08/2022","Temperature, Actual, D+1","15.1423","26/08/2022 12:30:00",""
"25/08/2022 11:38:00","24/08/2022","Temperature, Actual, D+1","15.2200","25/08/2022 12:30:00",""
"24/08/2022 11:38:00","23/08/2022","Temperature, Actual, D+1","15.2196","24/08/2022 12:30:00",""
"23/08/2022 11:38:00","22/08/2022","Temperature, Actual, D+1","15.0986","23/08/2022 12:30:00",""
"22/08/2022 11:38:00","21/08/2022","Temperature, Actual, D+1","15.1408","22/08/2022 12:30:00",""
"21/08/2022 11:38:00","20/08/2022","Temperature, Actual, D+1","15.1597","21/08/2022 12:30:00",""
"20/08/2022 11:38:00","19/08/2022","Temperature, Actual, D+1","15.1549","20/08/2022 12:30:00",""
"19/08/2022 11:38:00","18/08/2022","Temperature, Actual, D+1","15.1790","19/08/2022 12:30:00",""
"18/08/2022 11:38:00","17/08/2022","Temperature, Actual, D+1","15.1687","18/08/2022 12:30:00",""
"17/08/2022 11:38:00","16/08/2022","Temperature, Actual, D+1","15.2174","18/08/2022 12:30:00",""
"16/08/2022 11:38:00","15/08/2022","Temperature, Actual, D+1","15.2740","16/08/2022 12:30:00",""
"15/08/2022 11:38:00","14/08/2022","Temperature, Actual, D+1","15.2754","15/08/2022 12:30:00",""
"14/08/2022 11:38:00","13/08/2022","Temperature, Actual, D+1","15.2754","14/08/2022 12:30:00",""
"13/08/2022 11:38:00","12/08/2022","Temperature, Actual, D+1","15.2754","13/08/2022 12:30:00",""
"12/08/2022 11:38:00","11/08/2022","Temperature, Actual, D+1","15.2754","12/08/2022 12:30:00",""
"11/08/2022 11:38:00","10/08/2022","Temperature, Actual, D+1","15.2754","11/08/2022 12:30:00",""
"10/08/2022 11:38:00","09/08/2022","Temperature, Actual, D+1","15.2754","10/08/2022 12:30:00",""
"09/08/2022 11:38:00","08/08/2022","Temperature, Actual, D+1","15.2222","09/08/2022 12:30:00",""
"08/08/2022 11:38:00","07/08/2022","Temperature, Actual, D+1","15.1200","08/08/2022 12:30:00",""
"07/08/2022 11:38:00","06/08/2022","Temperature, Actual, D+1","14.9698","07/08/2022 12:30:00",""
"06/08/2022 11:38:00","05/08/2022","Temperature, Actual, D+1","14.9261","06/08/2022 12:30:00",""
"05/08/2022 11:38:00","04/08/2022","Temperature, Actual, D+1","15.1677","05/08/2022 12:30:00",""
"04/08/2022 11:38:00","03/08/2022","Temperature, Actual, D+1","15.2196","04/08/2022 12:30:00",""
"03/08/2022 11:38:00","02/08/2022","Temperature, Actual, D+1","15.2523","03/08/2022 12:30:00",""
"02/08/2022 11:38:00","01/08/2022","Temperature, Actual, D+1","15.2050","02/08/2022 12:30:00",""
"01/08/2022 11:38:00","31/07/2022","Temperature, Actual, D+1","15.1981","01/08/2022 12:30:00",""
"31/07/2022 11:38:00","30/07/2022","Temperature, Actual, D+1","15.2333","31/07/2022 12:30:00",""
"30/07/2022 11:38:00","29/07/2022","Temperature, Actual, D+1","15.1966","30/07/2022 12:30:00",""
"29/07/2022 11:38:00","28/07/2022","Temperature, Actual, D+1","15.0462","29/07/2022 12:30:00",""
"28/07/2022 11:38:00","27/07/2022","Temperature, Actual, D+1","15.0130","29/07/2022 12:30:00",""
"28/07/2022 11:38:00","27/07/2022","Temperature, Actual, D+1","15.0130","28/07/2022 12:30:00",""
"27/07/2022 11:38:00","26/07/2022","Temperature, Actual, D+1","14.9913","28/07/2022 12:30:00",""
"27/07/2022 11:38:00","26/07/2022","Temperature, Actual, D+1","14.9913","27/07/2022 12:30:00",""
"26/07/2022 11:38:00","25/07/2022","Temperature, Actual, D+1","15.1278","27/07/2022 12:30:00",""
"26/07/2022 11:38:00","25/07/2022","Temperature, Actual, D+1","15.1278","26/07/2022 12:30:00",""
"25/07/2022 11:38:00","24/07/2022","Temperature, Actual, D+1","15.2211","26/07/2022 12:30:00",""
"25/07/2022 11:38:00","24/07/2022","Temperature, Actual, D+1","15.2211","25/07/2022 12:30:00",""
"24/07/2022 11:38:00","23/07/2022","Temperature, Actual, D+1","15.1787","25/07/2022 12:30:00",""
"24/07/2022 11:38:00","23/07/2022","Temperature, Actual, D+1","15.1787","24/07/2022 12:30:00",""
"23/07/2022 11:38:00","22/07/2022","Temperature, Actual, D+1","15.1626","24/07/2022 12:30:00",""
"23/07/2022 11:38:00","22/07/2022","Temperature, Actual, D+1","15.1626","23/07/2022 12:30:00",""
"22/07/2022 11:38:00","21/07/2022","Temperature, Actual, D+1","15.2754","23/07/2022 12:30:00",""
"22/07/2022 11:38:00","21/07/2022","Temperature, Actual, D+1","15.2754","22/07/2022 12:30:00",""
"21/07/2022 11:38:00","20/07/2022","Temperature, Actual, D+1","15.2754","22/07/2022 12:30:00",""
"21/07/2022 11:38:00","20/07/2022","Temperature, Actual, D+1","15.2754","21/07/2022 12:30:00",""
"20/07/2022 11:38:00","19/07/2022","Temperature, Actual, D+1","15.2754","21/07/2022 12:30:00",""
"20/07/2022 11:38:00","19/07/2022","Temperature, Actual, D+1","15.2754","20/07/2022 12:30:00",""
"19/07/2022 11:38:00","18/07/2022","Temperature, Actual, D+1","15.2754","20/07/2022 12:30:00",""
"19/07/2022 11:38:00","18/07/2022","Temperature, Actual, D+1","15.2754","19/07/2022 12:30:00",""
"18/07/2022 11:38:00","17/07/2022","Temperature, Actual, D+1","15.2588","19/07/2022 12:30:00",""
"18/07/2022 11:38:00","17/07/2022","Temperature, Actual, D+1","15.2588","18/07/2022 12:30:00",""
"17/07/2022 11:38:00","16/07/2022","Temperature, Actual, D+1","15.2106","18/07/2022 12:30:00",""
"17/07/2022 11:38:00","16/07/2022","Temperature, Actual, D+1","15.2106","17/07/2022 12:30:00",""
"16/07/2022 11:38:00","15/07/2022","Temperature, Actual, D+1","15.0940","17/07/2022 12:30:00",""
"16/07/2022 11:38:00","15/07/2022","Temperature, Actual, D+1","15.0940","16/07/2022 12:30:00",""
"15/07/2022 11:38:00","14/07/2022","Temperature, Actual, D+1","15.1542","16/07/2022 12:30:00",""
"15/07/2022 11:38:00","14/07/2022","Temperature, Actual, D+1","15.1542","15/07/2022 12:30:00",""
"14/07/2022 11:38:00","13/07/2022","Temperature, Actual, D+1","15.2218","15/07/2022 12:30:00",""
"14/07/2022 11:38:00","13/07/2022","Temperature, Actual, D+1","15.2218","14/07/2022 12:30:00",""
"13/07/2022 11:38:00","12/07/2022","Temperature, Actual, D+1","15.2544","14/07/2022 12:30:00",""
"13/07/2022 11:38:00","12/07/2022","Temperature, Actual, D+1","15.2544","13/07/2022 12:30:00",""
"12/07/2022 11:38:00","11/07/2022","Temperature, Actual, D+1","15.2754","13/07/2022 12:30:00",""
"12/07/2022 11:38:00","11/07/2022","Temperature, Actual, D+1","15.2754","12/07/2022 12:30:00",""
"11/07/2022 11:38:00","10/07/2022","Temperature, Actual, D+1","15.2660","12/07/2022 12:30:00",""
"11/07/2022 11:38:00","10/07/2022","Temperature, Actual, D+1","15.2660","11/07/2022 12:30:00",""
"10/07/2022 11:38:00","09/07/2022","Temperature, Actual, D+1","15.2186","11/07/2022 12:30:00",""
"10/07/2022 11:38:00","09/07/2022","Temperature, Actual, D+1","15.2186","10/07/2022 12:30:00",""
"09/07/2022 11:38:00","08/07/2022","Temperature, Actual, D+1","15.1743","10/07/2022 12:30:00",""
"09/07/2022 11:38:00","08/07/2022","Temperature, Actual, D+1","15.1743","09/07/2022 12:30:00",""
"08/07/2022 11:38:00","07/07/2022","Temperature, Actual, D+1","15.0604","09/07/2022 12:30:00",""
"08/07/2022 11:38:00","07/07/2022","Temperature, Actual, D+1","15.0604","08/07/2022 12:30:00",""
"07/07/2022 11:38:00","06/07/2022","Temperature, Actual, D+1","14.8117","08/07/2022 12:30:00",""
"07/07/2022 11:38:00","06/07/2022","Temperature, Actual, D+1","14.8117","07/07/2022 12:30:00",""
"06/07/2022 11:38:00","05/07/2022","Temperature, Actual, D+1","14.5956","07/07/2022 12:30:00",""
"06/07/2022 11:38:00","05/07/2022","Temperature, Actual, D+1","14.5956","06/07/2022 12:30:00",""
"05/07/2022 11:38:00","04/07/2022","Temperature, Actual, D+1","14.4505","06/07/2022 12:30:00",""
"05/07/2022 11:38:00","04/07/2022","Temperature, Actual, D+1","14.4505","05/07/2022 12:30:00",""
"04/07/2022 11:38:00","03/07/2022","Temperature, Actual, D+1","14.4129","05/07/2022 12:30:00",""
"04/07/2022 11:38:00","03/07/2022","Temperature, Actual, D+1","14.4129","04/07/2022 12:30:00",""
"03/07/2022 11:38:00","02/07/2022","Temperature, Actual, D+1","14.3660","04/07/2022 12:30:00",""
"03/07/2022 11:38:00","02/07/2022","Temperature, Actual, D+1","14.3660","03/07/2022 12:30:00",""
"02/07/2022 11:38:00","01/07/2022","Temperature, Actual, D+1","14.3240","03/07/2022 12:30:00",""
"02/07/2022 11:38:00","01/07/2022","Temperature, Actual, D+1","14.3240","02/07/2022 12:30:00",""
"01/07/2022 11:38:00","30/06/2022","Temperature, Actual, D+1","14.3710","02/07/2022 12:30:00",""
"01/07/2022 11:38:00","30/06/2022","Temperature, Actual, D+1","14.3710","01/07/2022 12:30:00",""
"30/06/2022 11:38:00","29/06/2022","Temperature, Actual, D+1","14.4967","01/07/2022 12:30:00",""
"30/06/2022 11:38:00","29/06/2022","Temperature, Actual, D+1","14.4967","30/06/2022 12:30:00",""
"29/06/2022 11:38:00","28/06/2022","Temperature, Actual, D+1","14.4092","30/06/2022 12:30:00",""
"29/06/2022 11:38:00","28/06/2022","Temperature, Actual, D+1","14.4092","29/06/2022 12:30:00",""
"28/06/2022 11:38:00","27/06/2022","Temperature, Actual, D+1","14.3484","29/06/2022 12:30:00",""
"28/06/2022 11:38:00","27/06/2022","Temperature, Actual, D+1","14.3484","28/06/2022 12:30:00",""
"27/06/2022 11:38:00","26/06/2022","Temperature, Actual, D+1","14.5937","28/06/2022 12:30:00",""
"27/06/2022 11:38:00","26/06/2022","Temperature, Actual, D+1","14.5937","27/06/2022 12:30:00",""
"26/06/2022 11:38:00","25/06/2022","Temperature, Actual, D+1","14.7054","27/06/2022 12:30:00",""
"26/06/2022 11:38:00","25/06/2022","Temperature, Actual, D+1","14.7054","26/06/2022 12:30:00",""
"25/06/2022 11:38:00","24/06/2022","Temperature, Actual, D+1","15.0053","26/06/2022 12:30:00",""
"25/06/2022 11:38:00","24/06/2022","Temperature, Actual, D+1","15.0053","25/06/2022 12:30:00",""
"24/06/2022 11:38:00","23/06/2022","Temperature, Actual, D+1","15.1860","25/06/2022 12:30:00",""
"24/06/2022 11:38:00","23/06/2022","Temperature, Actual, D+1","15.1860","24/06/2022 12:30:00",""
"23/06/2022 11:38:00","22/06/2022","Temperature, Actual, D+1","15.1537","24/06/2022 12:30:00",""
"23/06/2022 11:38:00","22/06/2022","Temperature, Actual, D+1","15.1537","23/06/2022 12:30:00",""
"22/06/2022 11:38:00","21/06/2022","Temperature, Actual, D+1","14.9276","23/06/2022 12:30:00",""
"22/06/2022 11:38:00","21/06/2022","Temperature, Actual, D+1","14.9276","22/06/2022 12:30:00",""
"21/06/2022 11:38:00","20/06/2022","Temperature, Actual, D+1","14.5481","22/06/2022 12:30:00",""
"21/06/2022 11:38:00","20/06/2022","Temperature, Actual, D+1","14.5481","21/06/2022 12:30:00",""
"20/06/2022 11:38:00","19/06/2022","Temperature, Actual, D+1","14.3319","21/06/2022 12:30:00",""
"20/06/2022 11:38:00","19/06/2022","Temperature, Actual, D+1","14.3319","20/06/2022 12:30:00",""
"19/06/2022 11:38:00","18/06/2022","Temperature, Actual, D+1","14.6726","20/06/2022 12:30:00",""
"19/06/2022 11:38:00","18/06/2022","Temperature, Actual, D+1","14.6726","19/06/2022 12:30:00",""
"18/06/2022 11:38:00","17/06/2022","Temperature, Actual, D+1","15.1337","19/06/2022 12:30:00",""
"18/06/2022 11:38:00","17/06/2022","Temperature, Actual, D+1","15.1337","18/06/2022 12:30:00",""
"17/06/2022 11:38:00","16/06/2022","Temperature, Actual, D+1","15.1150","18/06/2022 12:30:00",""
"17/06/2022 11:38:00","16/06/2022","Temperature, Actual, D+1","15.1150","17/06/2022 12:30:00",""
"16/06/2022 11:38:00","15/06/2022","Temperature, Actual, D+1","14.8714","17/06/2022 12:30:00",""
"16/06/2022 11:38:00","15/06/2022","Temperature, Actual, D+1","14.8714","16/06/2022 12:30:00",""
"15/06/2022 11:38:00","14/06/2022","Temperature, Actual, D+1","14.4842","16/06/2022 12:30:00",""
"15/06/2022 11:38:00","14/06/2022","Temperature, Actual, D+1","14.4842","15/06/2022 12:30:00",""
"14/06/2022 11:38:00","13/06/2022","Temperature, Actual, D+1","14.2013","15/06/2022 12:30:00",""
"14/06/2022 11:38:00","13/06/2022","Temperature, Actual, D+1","14.2013","14/06/2022 12:30:00",""
"13/06/2022 11:38:00","12/06/2022","Temperature, Actual, D+1","14.2990","14/06/2022 12:30:00",""
"13/06/2022 11:38:00","12/06/2022","Temperature, Actual, D+1","14.2990","13/06/2022 12:30:00",""
"12/06/2022 11:38:00","11/06/2022","Temperature, Actual, D+1","14.5025","13/06/2022 12:30:00",""
"12/06/2022 11:38:00","11/06/2022","Temperature, Actual, D+1","14.5025","12/06/2022 12:30:00",""
"11/06/2022 11:38:00","10/06/2022","Temperature, Actual, D+1","14.5627","12/06/2022 12:30:00",""
"11/06/2022 11:38:00","10/06/2022","Temperature, Actual, D+1","14.5627","11/06/2022 12:30:00",""
"10/06/2022 11:38:00","09/06/2022","Temperature, Actual, D+1","14.1961","11/06/2022 12:30:00",""
"10/06/2022 11:38:00","09/06/2022","Temperature, Actual, D+1","14.1961","10/06/2022 12:30:00",""
"09/06/2022 11:38:00","08/06/2022","Temperature, Actual, D+1","14.1865","10/06/2022 12:30:00",""
"09/06/2022 11:38:00","08/06/2022","Temperature, Actual, D+1","14.1865","09/06/2022 12:30:00",""
